task_id,variant,score,tag_score,header_score,covered_tags,missing_tags
001,original,65,100,0,explore_options;visualize;ask_clarifying;offer_capture;no_implementation,
002,original,65,100,0,inspect_codebase;ground_claims;identify_risks;ask_clarifying;no_implementation,
003,original,65,100,0,read_openspec_artifacts;offer_capture;distinguish_facts;identify_risks;no_auto_capture,
004,original,49,75,0,no_implementation;handoff_next_step;no_auto_capture,human_gate
005,original,65,100,0,compare_tradeoffs;recommend_when_ready;identify_unknowns;ground_claims,
001,contractual,100,100,100,explore_options;visualize;ask_clarifying;offer_capture;no_implementation,
002,contractual,100,100,100,inspect_codebase;ground_claims;identify_risks;ask_clarifying;no_implementation,
003,contractual,100,100,100,read_openspec_artifacts;offer_capture;distinguish_facts;identify_risks;no_auto_capture,
004,contractual,100,100,100,no_implementation;human_gate;handoff_next_step;no_auto_capture,
005,contractual,100,100,100,compare_tradeoffs;recommend_when_ready;identify_unknowns;ground_claims,
